movie_id,rank,title,originalTitle,description,year,votes,rating,runtimeMinutes,ratingCategory,genres
tt4003440,177,The House That Jack Built,The House That Jack Built,"The story follows Jack, a highly intelligent serial killer, over the course of twelve years, and depicts the murders that really develop his inner madman.",2018,103000,6.8,152,R,"Crime,Drama,Horror"
tt1053960,200,The Midnight Sky,FlÃ¼stern mit Horst,"This post-apocalyptic tale follows Augustine, a lonely scientist in the Arctic, as he races to stop Sully and her fellow astronauts from returning home to a mysterious global catastrophe.",2020,93000,5.7,118,PG-13,"Documentary,Reality-TV"
tt4682266,186,The New Mutants,The New Mutants,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",2020,99000,5.3,94,PG-13,"Action,Horror,Mystery"
tt6998518,190,Mandy,Mandy,"The enchanted lives of a couple in a secluded forest are brutally shattered by a nightmarish hippie cult and their demon-biker henchmen, propelling a man into a spiraling, surreal rampage of vengeance.",2018,97000,6.5,121,Not Rated,"Action,Fantasy,Horror"
tt3224458,199,A Beautiful Day in the Neighborhood,A Beautiful Day in the Neighborhood,Based on the true story of a real-life friendship between Fred Rogers and journalist Lloyd Vogel.,2019,93000,7.2,109,PG,"Biography,Drama"
tt5688932,198,Sorry to Bother You,Sorry to Bother You,"In an alternate present-day version of Oakland, telemarketer Cassius Green discovers a magical key to professional success, propelling him into a universe of greed.",2018,93000,6.9,112,R,"Comedy,Drama,Fantasy"
tt6513120,202,Fighting with My Family,Fighting with My Family,A former wrestler and his family make a living performing at small venues around the country while his kids dream of joining World Wrestling Entertainment.,2019,92000,7.0,108,PG-13,"Biography,Comedy,Drama"
tt4560436,201,Mile 22,Mile 22,"A small team of elite American intelligence officers, part of a top-secret tactical command unit, try to smuggle a mysterious police officer with sensitive information out of Indonesia.",2018,92000,6.1,94,R,"Action,Thriller"
tt8623904,188,Last Christmas,Last Christmas,"Kate is a young woman subscribed to bad decisions. Working as an elf in a year-round Christmas store is not good for the wannabe singer. However, she meets Tom there. Her life takes a new turn--that seems too good to be true.",2019,99000,6.5,103,PG-13,"Comedy,Drama,Fantasy"
tt8350360,189,Annabelle Comes Home,Annabelle Comes Home,"While babysitting the daughter of Ed and Lorraine Warren, a teenager and her friend unknowingly awaken an evil spirit trapped in a doll.",2019,99000,5.9,106,R,"Horror,Mystery,Thriller"
tt8695030,183,The Dead Don't Die,The Dead Don't Die,The peaceful town of Centerville finds itself battling a zombie horde as the dead start rising from their graves.,2019,100000,5.4,104,R,"Comedy,Fantasy,Horror"
tt2531344,204,Blockers,Blockers,Three parents try to stop their daughters from losing their virginity on prom night.,2018,91000,6.2,102,R,"Comedy,Drama"
tt3387520,203,Scary Stories to Tell in the Dark,Scary Stories to Tell in the Dark,"On Halloween 1968, Stella and her two friends meet a mysterious drifter, RamÃ³n, and uncover a sinister notebook of stories.",2019,91000,6.2,108,PG-13,"Adventure,Horror,Mystery"
tt8075192,196,Shoplifters,Shoplifters,"On the margins of Tokyo, a dysfunctional band of outsiders are united by loyalty, a penchant for petty theft and playful grifting. When the young son is arrested, secrets are exposed that upend their tenuous, below-the-radar existence.",2018,93000,7.9,121,R,"Crime,Drama,Thriller"
tt8155288,195,Happy Death Day 2U,Happy Death Day 2U,Tree Gelbman discovers that dying over and over was surprisingly easier than the dangers that lie ahead.,2019,94000,6.2,100,PG-13,"Comedy,Horror,Mystery"
tt1634106,206,Bloodshot,Bloodshot,"Ray Garrison, a slain soldier, is re-animated with superpowers.",2020,90000,5.7,109,PG-13,"Action,Adventure,Sci-Fi"
tt4575576,207,Christopher Robin,Christopher Robin,"A working-class family man, Christopher Robin, encounters his childhood friend Winnie-the-Pooh, who helps him to rediscover the joys of life.",2018,89000,7.2,104,PG,"Adventure,Comedy,Drama"
tt5220122,192,Hotel Transylvania 3: Summer Vacation,Hotel Transylvania 3: Summer Vacation,"Count Dracula and company participate in a cruise for sea-loving monsters, unaware that their boat is being commandeered by the monster-hating Van Helsing family.",2018,96000,6.3,97,PG,"Adventure,Animation,Comedy"
tt6663582,216,The Spy Who Dumped Me,The Spy Who Dumped Me,Best friends Audrey and Morgan unwittingly become entangled in an international conspiracy when one of them discovers that the boyfriend who dumped her was actually a spy.,2018,86000,6.1,117,R,"Action,Adventure,Comedy"
tt1055423,228,Dara of Jasenovac,Episode #14.3,A 10-year-old girl and her family come face-to-face with the horrors of the Holocaust when they are sent to a concentration camp in Croatia. She must summon the courage to protect herself and her infant brother while trying to escape.,2020,82000,8.0,130,R,Family
tt6921996,208,Johnny English Strikes Again,Johnny English Strikes Again,"After a cyber-attack reveals the identity of all of the active undercover agents in Britain, Johnny English is forced to come out of retirement to find the mastermind hacker.",2018,89000,6.2,89,PG,"Action,Adventure,Comedy"
tt2709692,170,The Grinch,The Grinch,A grumpy Grinch plots to ruin Christmas for the village of Whoville.,2018,106000,6.4,85,PG,"Animation,Comedy,Family"
tt3861390,212,Dumbo,Dumbo,"A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer.",2019,87000,6.2,112,PG,"Adventure,Family,Fantasy"
tt7014006,218,Eighth Grade,Eighth Grade,An introverted teenage girl tries to survive the last week of her disastrous eighth grade year before leaving to start high school.,2018,86000,7.3,93,R,"Comedy,Drama"
tt1061828,214,Mank,Episode #3.40,1930s Hollywood is re-evaluated through the eyes of scathing social critic and alcoholic screenwriter Herman J. Mankiewicz as he races to finish the screenplay of Citizen Kane (1941).,2020,87000,6.8,131,R,"Comedy,Family,Fantasy"
tt6977338,209,Good Boys,Good Boys,"Three 6th grade boys ditch school and embark on an epic journey while carrying accidentally stolen drugs, being hunted by teenage girls, and trying to make their way home in time for a long-awaited party.",2019,88000,6.7,90,R,"Adventure,Comedy"
tt2990140,205,The Christmas Chronicles,The Christmas Chronicles,"The story of sister and brother, Kate and Teddy Pierce, whose Christmas Eve plan to catch Santa Claus on camera turns into an unexpected journey that most kids could only dream about.",2018,90000,7.0,104,PG,"Adventure,Comedy,Family"
tt6472976,194,Five Feet Apart,Five Feet Apart,"A pair of teenagers with cystic fibrosis meet in a hospital and fall in love, though their disease means they must avoid close physical contact.",2019,94000,7.2,116,PG-13,"Drama,Romance"
tt6679794,215,Outlaw King,Outlaw King,A true David vs. Goliath story of how the 14th century Scottish 'Outlaw King' Robert the Bruce used cunning and bravery to defeat the much larger and better equipped occupying English army.,2018,87000,6.9,121,R,"Action,Biography,Drama"
tt4532826,220,Robin Hood,Robin Hood,A war-hardened Crusader and his Moorish commander mount an audacious revolt against the corrupt English crown.,2018,85000,5.4,116,PG-13,"Action,Adventure,Drama"
tt5033998,222,Charlie's Angels,Charlie's Angels,"When a young systems engineer blows the whistle on a dangerous technology, Charlie's Angels are called into action, putting their lives on the line to protect us all.",2019,84000,5.0,118,PG-13,"Action,Adventure,Comedy"
tt8359848,210,Climax,Climax,"French dancers gather in a remote, empty school building to rehearse on a wintry night. The all-night celebration morphs into a hallucinatory nightmare when they learn their sangria is laced with LSD.",2018,88000,6.9,97,R,"Drama,Horror,Music"
tt7638348,211,Boss Level,Boss Level,"Trapped in a time loop that constantly repeats the day of his murder, a former special forces agent must unlock the mystery behind his untimely demise.",2020,87000,6.8,100,TV-MA,"Action,Adventure,Comedy"
tt5719748,225,Cold Pursuit,Cold Pursuit,A grieving snowplow driver seeks out revenge against the drug dealers who killed his son.,2019,83000,6.2,119,R,"Action,Comedy,Crime"
